Nom,Prix achat,Prix vente,Stock,Catégorie
Régab 33cl,300,350,,Bar
Régab 65cl,433,600,,Bar
Castel Beer 33cl,,,,Bar
Castel Beer 65cl,,,,Bar
Beaufort 33cl,,,,Bar
Guinness 33cl,,,,Bar
33 Export 33cl,,,,Bar
Heineken 33cl,,,,Bar
Coca-Cola 33cl,,,,Bar
Fanta Orange 33cl,,,,Bar
Sprite 33cl,,,,Bar
Eau minérale Andza 50cl,,,,Bar
Eau minérale Andza 1.5L,,550,,Bar
Eau minérale Odzi 50cl,,,,Bar
Jus d'ananas 33cl,,,,Bar
Jus de mangue 33cl,,,,Bar
Vin rouge (bouteille) 75cl,,,,Bar
Vin blanc (bouteille) 75cl,,,,Bar
Vin rosé (bouteille) 75cl,,,,Bar
Whisky Johnnie Walker Red Label 70cl,,,,Club
Whisky Jack Daniel's 70cl,,,,Club
Pastis 51 70cl,,,,Club
Ricard 70cl,,,,Club
Gin Gordon's 70cl,,,,Club
Vodka Smirnoff 70cl,,,,Club
Rhum Negrita 70cl,,,,Club
Cognac Hennessy VS 70cl,,,,Club
Liqueur Baileys 70cl,,,,Club
Champagne Moët & Chandon 75cl,,,,Club
Vin mousseux 75cl,,,,Club
Chips paquet 45g,,,,Snack
Cacahuètes grillées sachet,,,,Snack
Biscuits paquet,,,,Snack
Chocolat tablette,,,,Snack
Brochettes de bœuf (unité),,,,Snack
Poulet braisé (portion),,,,Snack
Cigarettes Rothmans (paquet),,,,Snack
Cigarettes Marlboro (paquet),,,,Snack
Cigarettes Dunhill (paquet),,,,Snack
Cigarettes London (paquet),,,,Snack
Glaçons (sachet),,,,Snack
